幣別,匯率,現金,即期,遠期10天,遠期30天,遠期60天,遠期90天,遠期120天,遠期150天,遠期180天,匯率,現金,即期,遠期10天,遠期30天,遠期60天,遠期90天,遠期120天,遠期150天,遠期180天
USD,本行買入,29.96000,30.31000,30.29600,30.26700,30.23600,30.20400,30.16700,30.12800,30.08700,本行賣出,30.63000,30.41000,30.40000,30.37900,30.34800,30.31800,30.28700,30.25500,30.23300,
HKD,本行買入,3.74000,3.86600,3.86400,3.85900,3.85200,3.84700,3.84100,3.83500,3.82900,本行賣出,3.94400,3.92600,3.92500,3.92200,3.91600,3.91100,3.90600,3.90200,3.89800,
GBP,本行買入,38.22000,39.22000,39.21200,39.19600,39.18000,39.16800,39.14700,39.12700,39.10700,本行賣出,40.34000,39.64000,39.64100,39.64200,39.62900,39.61800,39.61400,39.61000,39.60600,
AUD,本行買入,19.58000,19.85000,19.84600,19.83700,19.82600,19.80700,19.79400,19.78100,19.76700,本行賣出,20.36000,20.08000,20.07900,20.07800,20.06700,20.05700,20.05300,20.04900,20.04300,
CAD,本行買入,22.35000,22.74000,22.72900,22.70800,22.67800,22.65500,22.62500,22.59500,22.56500,本行賣出,23.26000,22.96000,22.95500,22.94400,22.91600,22.89300,22.87200,22.85200,22.83200,
SGD,本行買入,21.13000,21.62000,21.61000,21.59100,21.56500,21.54700,21.52200,21.49800,21.47300,本行賣出,22.04000,21.80000,21.79500,21.78600,21.76400,21.74500,21.72900,21.71400,21.69900,
CHF,本行買入,30.29000,30.95000,30.95400,30.96300,30.99500,31.02100,31.04300,31.06400,31.08600,本行賣出,31.49000,31.24000,31.25500,31.28500,31.32100,31.34800,31.38600,31.42400,31.46300,
JPY,本行買入,0.26560,0.27290,0.27290,0.27290,0.27300,0.27320,0.27320,0.27330,0.27340,本行賣出,0.27840,0.27690,0.27700,0.27730,0.27730,0.27750,0.27760,0.27780,0.27800,
ZAR,本行買入,0.00000,1.95300,1.94900,1.94100,1.93000,1.92000,1.90900,1.89900,1.88800,本行賣出,0.00000,2.03300,2.03000,2.02500,2.01300,2.00400,1.99400,1.98400,1.97400,
SEK,本行買入,2.74000,3.08000,3.08000,3.08000,3.08000,3.08100,3.08100,3.08100,3.08100,本行賣出,3.26000,3.18000,3.18100,3.18200,3.18400,3.18400,3.18500,3.18700,3.18800,
NZD,本行買入,18.67000,19.05000,19.04200,19.02500,19.00800,18.99400,18.97500,18.95600,18.93600,本行賣出,19.52000,19.25000,19.25000,19.24900,19.23300,19.22000,19.20900,19.19800,19.18700,
THB,本行買入,0.82380,0.93620,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,本行賣出,1.01380,0.97620,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
PHP,本行買入,0.52140,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,本行賣出,0.65440,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
IDR,本行買入,0.00183,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,本行賣出,0.00253,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
EUR,本行買入,32.20000,32.82000,32.82300,32.82800,32.85200,32.87000,32.88200,32.89500,32.90800,本行賣出,33.54000,33.22000,33.23400,33.26200,33.29100,33.31500,33.34400,33.37300,33.40200,
KRW,本行買入,0.02321,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,本行賣出,0.02711,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
VND,本行買入,0.00093,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,本行賣出,0.00143,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
MYR,本行買入,6.05600,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,本行賣出,7.68100,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
CNY,本行買入,4.22000,4.29200,4.28780,4.27940,4.27140,4.26280,4.25290,4.24300,4.23320,本行賣出,4.38200,4.34200,4.33970,4.33510,4.32800,4.32150,4.31520,4.30900,4.30270,
